timestamp,n31,n32,n33,n24,n11,n12,n14
"2020-02-22 00:00:00",21.84,32.0785714285714,37.15,36.7117647058824,21.33125,23.625,
"2020-02-22 00:01:00",21.6928571428571,31.3428571428571,35.9,35.6631578947368,20.83125,23.3333333333333,
"2020-02-22 00:02:00",21.9666666666667,31.44,36.15,36.0235294117647,20.7125,22.925,
"2020-02-22 00:03:00",21.9071428571429,31.4785714285714,36.1,35.9157894736842,21.0375,22.7333333333333,
"2020-02-22 00:04:00",22.05,31.4666666666667,35.8285714285714,35.7166666666667,20.2375,22.7,
"2020-02-22 00:05:00",21.9928571428571,31.9769230769231,35.3142857142857,35.2705882352941,21.26875,22.5,
"2020-02-22 00:06:00",21.7133333333333,31.4866666666667,36.2866666666667,36.2421052631579,19.5666666666667,22.5,
"2020-02-22 00:07:00",21.6928571428571,31.2714285714286,35.9785714285714,35.8941176470588,20.55,22.725,
"2020-02-22 00:08:00",22.1133333333333,31.7133333333333,36.8642857142857,36.5111111111111,20.9625,22.7666666666667,
"2020-02-22 00:09:00",22.1428571428571,31.2714285714286,36.0333333333333,35.8666666666667,24.05,22.025,
"2020-02-22 00:10:00",21.9642857142857,31.9714285714286,37,36.4888888888889,22.6875,22.9666666666667,
"2020-02-22 00:11:00",21.8933333333333,31.34,37.28,36.9944444444444,21.1375,22.1,
"2020-02-22 00:12:00",22.4714285714286,31.6142857142857,37.9428571428571,37.2722222222222,20.5333333333333,22.3,
"2020-02-22 00:13:00",22.0,32.2466666666667,38.3266666666667,37.8777777777778,21.1733333333333,21.95,
"2020-02-22 00:14:00",21.6357142857143,31.7,36.0428571428571,35.8555555555556,21.325,22.7,
"2020-02-22 00:15:00",22.4357142857143,31.5214285714286,37.1857142857143,36.8823529411765,21.5375,23.1,
"2020-02-22 00:16:00",22.36,31,37.5266666666667,37.1052631578947,20.2733333333333,22.5,
"2020-02-22 00:17:00",23.1142857142857,31.1642857142857,36.1571428571429,36.1764705882353,20.58125,22.8666666666667,
"2020-02-22 00:18:00",22.04,31.74,36.6733333333333,36.5052631578947,20.38125,23.15,
"2020-02-22 00:19:00",22.4571428571429,31.65,35.3,35.3944444444444,20.6375,23.5333333333333,
"2020-02-22 00:20:00",22.7357142857143,31.6266666666667,35.8285714285714,35.7117647058824,22.5875,23.025,
"2020-02-22 00:21:00",21.8333333333333,32.1142857142857,35.4071428571429,35.2444444444444,21.9875,22.9666666666667,
"2020-02-22 00:22:00",21.4571428571429,31.6357142857143,35.7,35.6888888888889,21.925,22.65,
"2020-02-22 00:23:00",22.9066666666667,30.9266666666667,33.8928571428571,34.2588235294118,20.5933333333333,22.325,
"2020-02-22 00:24:00",22.5714285714286,31.6714285714286,36.0571428571429,35.8166666666667,20.1,22.8,
"2020-02-22 00:25:00",21.8133333333333,30.48,35.4733333333333,35.3888888888889,20.6125,22.825,
"2020-02-22 00:26:00",21.95,31.45,34.8714285714286,35.1333333333333,20.8125,23.3,
"2020-02-22 00:27:00",22.1214285714286,31.15,34.1866666666667,34.3944444444444,20.6,22.075,
"2020-02-22 00:28:00",21.8133333333333,31.8,35.3071428571429,35.3,20.08125,22.8666666666667,
"2020-02-22 00:29:00",21.2642857142857,31.3714285714286,35.7214285714286,35.6352941176471,19.6133333333333,22.4,
"2020-02-22 00:30:00",21.96,31.45,33.58,33.8631578947368,20.0125,22.325,
"2020-02-22 00:31:00",21.7,31.2,35.1785714285714,34.9764705882353,20.6125,22.3666666666667,
"2020-02-22 00:32:00",21.8214285714286,30.1285714285714,35.9066666666667,35.5526315789474,20.3,22.5,
"2020-02-22 00:33:00",22.9933333333333,30.0714285714286,35.3285714285714,35,19.79375,21.9666666666667,
"2020-02-22 00:34:00",21.5785714285714,30.2615384615385,35.5266666666667,35.0526315789474,19.89375,21.6,
"2020-02-22 00:35:00",21.5,30.3071428571429,35.2428571428571,35.1058823529412,19.66,21.9,
"2020-02-22 00:36:00",21.3733333333333,30.7142857142857,34.3,34.1666666666667,20.26875,21.925,
"2020-02-22 00:37:00",21.4642857142857,30.0266666666667,35.5933333333333,35.3,20.0375,21.6,
"2020-02-22 00:38:00",21.8,30.1357142857143,35.3,34.9555555555555,19.8666666666667,21.5333333333333,
"2020-02-22 00:39:00",21.2,30.1357142857143,33.6866666666667,33.6833333333333,19.475,21.9,
"2020-02-22 00:40:00",21.4071428571429,30.5071428571429,33.3642857142857,33.2666666666667,19.94375,22.0333333333333,
"2020-02-22 00:41:00",21.62,29.6785714285714,33.0933333333333,33.1055555555556,19.92,21.95,
"2020-02-22 00:42:00",22.0285714285714,29.6466666666667,32.8142857142857,32.9055555555556,19.75,21.5666666666667,
"2020-02-22 00:43:00",21.9333333333333,28.9,33.0571428571429,32.9529411764706,19.15,21.475,
"2020-02-22 00:44:00",21.3142857142857,28.7928571428571,32.08,32.1894736842105,19.4625,21.25,
"2020-02-22 00:45:00",20.4571428571429,28.3285714285714,32.1714285714286,32.3647058823529,18.96875,20.5333333333333,
"2020-02-22 00:46:00",20.3066666666667,28.4428571428571,31.4666666666667,31.7157894736842,18.65625,20.825,
"2020-02-22 00:47:00",20.1642857142857,28.6,31.0714285714286,31.2117647058823,19.21875,21,
"2020-02-22 00:48:00",20.3933333333333,28.88,32.1785714285714,32.0111111111111,18.925,20.75,
"2020-02-22 00:49:00",20.6214285714286,28.9214285714286,30.8933333333333,31.1833333333333,18.9866666666667,20.3,
"2020-02-22 00:50:00",20.36,28.1142857142857,31.8285714285714,31.8666666666667,19.00625,20.55,
