timestamp,n31,n32,n33,n24,n11,n12,n14
"2020-02-23 00:00:00",25.5357142857143,24,25.0066666666667,24.7722222222222,25.875,24.9333333333333,
"2020-02-23 00:01:00",25.6,23.9133333333333,25,24.6777777777778,25.9,24.7,
"2020-02-23 00:02:00",25.5428571428571,23.9571428571429,25,24.7411764705882,25.90625,25.1,
"2020-02-23 00:03:00",25.4,23.9,25,24.6666666666667,25.90625,24.4333333333333,
"2020-02-23 00:04:00",25.2533333333333,23.9,25.0266666666667,24.7722222222222,25.86875,25.05,
"2020-02-23 00:05:00",25.2,23.9,25,24.6666666666667,25.8,25.175,
"2020-02-23 00:06:00",25.2,23.9,25.0266666666667,24.7555555555556,25.79375,25.1,
"2020-02-23 00:07:00",25.12,23.8928571428571,25.0142857142857,24.6777777777778,25.83125,25.3,
"2020-02-23 00:08:00",25.2,23.9133333333333,25.0142857142857,24.7352941176471,25.80625,24.7,
"2020-02-23 00:09:00",25.2133333333333,23.9214285714286,24.9933333333333,24.6789473684211,25.8266666666667,25.325,
"2020-02-23 00:10:00",25.2642857142857,23.8928571428571,24.9714285714286,24.7117647058823,25.85,25.0666666666667,
"2020-02-23 00:11:00",25.3066666666667,23.8,24.94,24.6315789473684,25.81875,25.125,
"2020-02-23 00:12:00",25.3214285714286,23.8714285714286,24.9571428571429,24.6111111111111,25.84375,25.1333333333333,
"2020-02-23 00:13:00",25.3642857142857,23.8066666666667,24.9666666666667,24.7055555555556,25.89375,25.35,
"2020-02-23 00:14:00",25.4066666666667,23.7928571428571,24.9928571428571,24.65,25.8375,24.6,
"2020-02-23 00:15:00",25.45,23.7933333333333,24.9928571428571,24.7235294117647,25.73125,24.9333333333333,
"2020-02-23 00:16:00",25.5,23.7714285714286,24.9866666666667,24.6631578947368,25.7,24.7,
"2020-02-23 00:17:00",25.5071428571429,23.8,24.9857142857143,24.7117647058824,25.69375,24.8666666666667,
"2020-02-23 00:18:00",25.5,23.7428571428571,24.98,24.6473684210526,25.7,25.0,
"2020-02-23 00:19:00",25.5,23.7071428571429,24.9571428571429,24.6764705882353,25.70625,24.6333333333333,
"2020-02-23 00:20:00",25.5071428571429,23.6071428571429,24.9285714285714,24.5611111111111,25.7375,24.875,
"2020-02-23 00:21:00",25.4933333333333,23.6066666666667,24.9133333333333,24.6444444444444,25.7933333333333,25.15,
"2020-02-23 00:22:00",25.35,23.5928571428571,24.9071428571429,24.5388888888889,25.8375,24.0666666666667,
"2020-02-23 00:23:00",25.3133333333333,23.5642857142857,24.9,24.6333333333333,25.8875,25.2,
"2020-02-23 00:24:00",25.3714285714286,23.5733333333333,24.9,24.5388888888889,25.9,25.1,
"2020-02-23 00:25:00",25.4214285714286,23.5846153846154,24.8866666666667,24.6277777777778,25.89375,25.325,
"2020-02-23 00:26:00",25.5,23.5214285714286,24.8214285714286,24.4555555555556,25.8933333333333,24.5333333333333,
"2020-02-23 00:27:00",25.4857142857143,23.5533333333333,24.7928571428571,24.5176470588235,25.9,24.4,
"2020-02-23 00:28:00",25.3133333333333,23.6071428571429,24.7933333333333,24.4631578947368,25.90625,24.925,
"2020-02-23 00:29:00",25.1785714285714,23.6071428571429,24.7,24.4470588235294,25.9625,24.7,
"2020-02-23 00:30:00",25.0285714285714,23.6333333333333,24.7,24.3842105263158,25.94375,24.65,
"2020-02-23 00:31:00",24.9466666666667,23.6214285714286,24.7,24.4352941176471,25.9,24.7333333333333,
"2020-02-23 00:32:00",24.8071428571429,23.6,24.7071428571429,24.3722222222222,25.89375,24.85,
"2020-02-23 00:33:00",24.6857142857143,23.55,24.6933333333333,24.45,25.88125,24.7666666666667,
"2020-02-23 00:34:00",24.6466666666667,23.5785714285714,24.7714285714286,24.4055555555556,25.8875,24.65,
"2020-02-23 00:35:00",24.7142857142857,23.5142857142857,24.8,24.5166666666667,25.90625,24.675,
"2020-02-23 00:36:00",24.8333333333333,23.5066666666667,24.8,24.4388888888889,25.9,24.3333333333333,
"2020-02-23 00:37:00",24.9384615384615,23.5,24.8,24.5277777777778,25.9,24.75,
"2020-02-23 00:38:00",25,23.5071428571429,24.8071428571429,24.4277777777778,25.9,24.6333333333333,
"2020-02-23 00:39:00",25.1142857142857,23.4933333333333,24.7928571428571,24.4882352941177,25.89375,24.4,
"2020-02-23 00:40:00",25.1785714285714,23.5214285714286,24.6933333333333,24.4111111111111,25.9,24.3666666666667,
"2020-02-23 00:41:00",25.2,23.5785714285714,24.6714285714286,24.3166666666667,25.9,24.525,
"2020-02-23 00:42:00",25.1928571428571,23.5357142857143,24.6857142857143,24.4058823529412,25.9,24.4,
"2020-02-23 00:43:00",25.1933333333333,23.5,24.6666666666667,24.3210526315789,25.9,23.9,
"2020-02-23 00:44:00",25.2,23.5066666666667,24.6357142857143,24.3588235294118,25.88125,24.175,
"2020-02-23 00:45:00",25.25,23.4785714285714,24.6733333333333,24.3421052631579,25.8875,24.2,
"2020-02-23 00:46:00",25.2933333333333,23.42,24.6928571428571,24.4058823529412,25.8625,23.95,
"2020-02-23 00:47:00",25.3428571428571,23.4,24.62,24.2947368421053,25.8625,24.4333333333333,
"2020-02-23 00:48:00",25.38,23.4,24.6071428571429,24.3294117647059,25.7875,24.85,
"2020-02-23 00:49:00",25.3571428571429,23.3928571428571,24.5714285714286,24.2333333333333,25.78125,24.225,
"2020-02-23 00:50:00",25.3785714285714,23.3928571428571,24.5733333333333,24.3277777777778,25.7125,24.2666666666667,
"2020-02-23 00:51:00",25.4,23.3785714285714,24.5928571428571,24.2611111111111,25.7,24.075,
